Name,Company,Pay,Age
Robert C Skaggs Jr,NiSource,95e4,>=50
Charles W Ergen,EchoStar Commun,92e4,>=50
Mark P Mays,Clear Channel Commun,9e5,<50
Scott D Farmer,Cintas,88e4,<50
Daniel P Hann,Biomet,686e3,>=50
Gerard J Arpey,AMR,655e3,<50
Gary C Kelly,Southwest Airlines,NA,>=50
Gerald Grinstein,Delta Air Lines,45e4,>=50
John Bucksbaum,General Growth Prop,235e3,<50
Warren E Buffett,Berkshire Hathaway,1e5,>=50
Jeffrey P Bezos,Amazon.com,85e3,<50
Eric E Schmidt,Google,3e4,>=50
Steven P Jobs,Apple Computer,0.0,>=50
Richard D Kinder,Kinder Morgan,0.0,>=50
Michael T Fries,Liberty Global,NA,<50
A Jerrold Perenchio,Univision Commun,0.0,>=50
James E Rogers,Duke Energy,NA,>=50
H Garrett Thornburg Jr,Thornburg Mortgage,NA,>=50
